Version,Date,Description of Change,_page,Caution: ALWAYS CONNECT JETSON ORIN NANO and ALL EXTERNAL PERIPHERAL,Note: The developer kit carrier board has been modified to only support 5V to the module.,Pin #,Connector Pin,Associated Module Pin,Module,Module Pin Name,Type/Dir,Module Pin Name (see Note 1 and 2),Usage/Description,Module Pin #,N > >,otes:,Module Pin,Module Pin.1,Module.1,Notes:,Type/Dir.1,Header Pin #,SoC Pin Name,Pin Drive,Pin,Type/Dir Default,Associated Module Pin Name,Power Rails,Usage,(V),Power Supply or Gate,Source,Enable,Max Current (A),Connector
,,,17,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Key,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Ground,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_TX0_P,,,,,,,,35,174,PCIe #1 Transmit Lane 0,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_TX0_N,,,,,,,,37,172,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,39,–,Ground,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_RX0_P,,,,,,,,41,169,PCIe #1 Receive Lane 0,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_RX0_N,,,,,,,,43,167,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,45,–,Ground,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_CLK_P,,,,,,,,47,175,PCIe #1 Reference clock,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_CLK_N,,,,,,,,49,173,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Ground,,,,,,,,,,,,,,,,
,,,17,,,,,,PEX1_CLKRE Q*,,,,,,,,53,182,PCIe #1 Clock Request,,,,,,,,,,,,,,,,
